,log_type,value,title,author,date_logged
0,Books,1,animorphs 1: the invasion,k a applegate,5/1/2017
1,Books,1,"Animorphs, The Invasion",,4/30/2017
2,Books,2,(1996) Animorphjs 1: The Invasion,K A Applegate,5/2/2017
3,Books,1,"Logged a book, but no title",,5/2/2017
4,Books,500,33,,5/2/2017
5,Books,1,everfair,,5/4/2017
6,Books,1,everfair,nisi shawl,5/4/2017
7,Books,9,animorphs 2 the visito,k a applegate,5/4/2017
8,Books,1,elfangor's secret,K A Applegate,5/5/2017
9,Books,1,"animors, book 19: The Departue",k a appleegate,5/5/2017
10,Books,2,"Animorphs, The Invasion",,5/6/2017
11,Books,1,the visitor,lee child,5/6/2017
12,Books,1,jack reacher - the visitor,"Child, Lee",5/8/2017
13,Books,1,"a bride's story, vol. 1",kaoru mori,5/9/2017
14,Books,12,a birde's story,kaoru mori,5/10/2017
15,Books,1,"a bride's story, vol. 5",mori kaoru,5/9/2017
16,Books,5,emma v.5,Kaoru Mori  ,5/9/2017
17,Books,1,emma vol 7,kaoru mori,5/11/2017
18,Books,3,ever,gail carson levine,5/11/2017
19,Books,1,ever,levine,5/12/2017
20,Books,1,33,Merritt Kowaleski,5/12/2017
