Booktitle,Suggested Title,book_author,log_value,library,ISBN,Author,Type,Year Published,Weight,Page Count,Subjects,Places
1,"Laws, etc",,1,East Liberty,9780118017565,Rand McNally,work,1691,,,"Cattle,Commercial law,Consumer credit,Consumer protection,Delegated legislation,Diseases,Domestic relations,Drill and minor tactics,Early works to 1800,Economic aspects of World War, 1914-1918,Educational law and legislation,Finance,Government securities,Great Britain,Gt. Brit,Income tax,Indexes,Law,Law and legislation,Law, Anglo-Saxon,Laws, statutes,Legislation,Life Insurance,Local government,Military law,Militia,Old age pensions,Patent laws and legislation,Periodicals,Postal service,Prevention,Public health laws,Rent,Social security,Statutes,Taxation,Trade regulation,Veterinary Quarantine,Weights and measures,World War, 1914-1918,Corporation law,Food law and legislation,Food supply,Universities and colleges,Food conservation,War and emergency legislation,National University of Ireland,Irish universities act, 1908,German,Glossaries, vocabularies,Dictionaries,English language","England,Great Britain,Gt. Brit,Scotland,Statutes"
5,"Laws, etc",,1,Sheraden,9780118017565,Rand McNally,work,1691,,,"Cattle,Commercial law,Consumer credit,Consumer protection,Delegated legislation,Diseases,Domestic relations,Drill and minor tactics,Early works to 1800,Economic aspects of World War, 1914-1918,Educational law and legislation,Finance,Government securities,Great Britain,Gt. Brit,Income tax,Indexes,Law,Law and legislation,Law, Anglo-Saxon,Laws, statutes,Legislation,Life Insurance,Local government,Military law,Militia,Old age pensions,Patent laws and legislation,Periodicals,Postal service,Prevention,Public health laws,Rent,Social security,Statutes,Taxation,Trade regulation,Veterinary Quarantine,Weights and measures,World War, 1914-1918,Corporation law,Food law and legislation,Food supply,Universities and colleges,Food conservation,War and emergency legislation,National University of Ireland,Irish universities act, 1908,German,Glossaries, vocabularies,Dictionaries,English language","England,Great Britain,Gt. Brit,Scotland,Statutes"
47,"Army/Series I, V.28 Pt.2",Walter Mosley,1,Allegheny,9781299592155,47,work,1971,,,,
47,"Army/Series I, V.28 Pt.2",Walter Mosley,1,Mt. Washington,9781299592155,47,work,1971,,,,
47,"Army/Series I, V.28 Pt.2",Mike Richardson,1,Squirrel Hill,9781299592155,47,work,1971,,,,
1222,1222,"Holt, Anne",1,East Liberty,1848878109,"Holt, Anne",work,2010,,,,
1776,"Ordinances passed at a general convention of delegates and representatives, from the several counties and corporations of Virginia",David McCullough,1,East Liberty,No ISBN Found,Virginia. (1776),work,1776,,,,
1812,1812,,1,Squirrel Hill,9780786192342,David Nevin,work,1996,1.2 pounds,,"Fiction,History,United States War of 1812,War stories,Historical fiction,Protected DAISY,In library",United States
1984,"Laws, etc",George Orwell,1,Main (Oakland),9780118017565,Rand McNally,work,1691,,,"Cattle,Commercial law,Consumer credit,Consumer protection,Delegated legislation,Diseases,Domestic relations,Drill and minor tactics,Early works to 1800,Economic aspects of World War, 1914-1918,Educational law and legislation,Finance,Government securities,Great Britain,Gt. Brit,Income tax,Indexes,Law,Law and legislation,Law, Anglo-Saxon,Laws, statutes,Legislation,Life Insurance,Local government,Military law,Militia,Old age pensions,Patent laws and legislation,Periodicals,Postal service,Prevention,Public health laws,Rent,Social security,Statutes,Taxation,Trade regulation,Veterinary Quarantine,Weights and measures,World War, 1914-1918,Corporation law,Food law and legislation,Food supply,Universities and colleges,Food conservation,War and emergency legislation,National University of Ireland,Irish universities act, 1908,German,Glossaries, vocabularies,Dictionaries,English language","England,Great Britain,Gt. Brit,Scotland,Statutes"
1984,"Laws, etc",George Orwell,1,Main (Oakland),9780118017565,Rand McNally,work,1691,,,"Cattle,Commercial law,Consumer credit,Consumer protection,Delegated legislation,Diseases,Domestic relations,Drill and minor tactics,Early works to 1800,Economic aspects of World War, 1914-1918,Educational law and legislation,Finance,Government securities,Great Britain,Gt. Brit,Income tax,Indexes,Law,Law and legislation,Law, Anglo-Saxon,Laws, statutes,Legislation,Life Insurance,Local government,Military law,Militia,Old age pensions,Patent laws and legislation,Periodicals,Postal service,Prevention,Public health laws,Rent,Social security,Statutes,Taxation,Trade regulation,Veterinary Quarantine,Weights and measures,World War, 1914-1918,Corporation law,Food law and legislation,Food supply,Universities and colleges,Food conservation,War and emergency legislation,National University of Ireland,Irish universities act, 1908,German,Glossaries, vocabularies,Dictionaries,English language","England,Great Britain,Gt. Brit,Scotland,Statutes"
2056,Āmanirvācana 2056,,1,Brookline,No ISBN Found,,work,1999,,,,
6000,Zombie Birdhouse,,1,Main (Oakland),9786300710795,Iggy                                         Csanim         6000 Pop,work,1986,,,,
11221963,Mirovozzrenie P.I,Stephen King,1,Brookline,No ISBN Found,Petr Fedotovich Nikandrov,work,1955,,,,
11221963,Mirovozzrenie P.I,Stephen King,1,Main (Oakland),No ISBN Found,Petr Fedotovich Nikandrov,work,1955,,,,
11221963,Mirovozzrenie P.I,Stephen King,1,Main (Oakland),No ISBN Found,Petr Fedotovich Nikandrov,work,1955,,,,
11221963,Mirovozzrenie P.I,Stephen King,1,Lawrenceville,No ISBN Found,Petr Fedotovich Nikandrov,work,1955,,,,
A Killer Ball At Honeychurch Hall,,"Dennison, Hannah,",1,Main (Oakland),No ISBN Found,,,,,,,
Nancy Drew The Secret Of Shadow Ranch,The Secret of Shadow Ranch Journal (Nancy Drew Mystery Stories),Carolyn Keene,1,East Liberty,081185163X,licensor) Simon & Schuster,work,2006,,,,
Nancy Drew The Secret Of Shadow Ranch,The Secret of Shadow Ranch Journal (Nancy Drew Mystery Stories),"Keene, Carolyn",1,East Liberty,081185163X,licensor) Simon & Schuster,work,2006,,,,
Star Trek,Star Trek,,1,Carrick,743418468,Star Trek,work,2000,8.8 ounces,24,,
Belgrave Square,Belgrave Square,,1,Main (Oakland),2264032626,Anne Perry,work,1992,9.1 ounces,414,"Thomas Pitt (Fictitious character),Women detectives,Detective and mystery stories,Police,Police spouses,Charlotte Pitt (Fictitious character),Fiction","England,London,London (England)"
The Magdalen Martyrs,The Magdalen martyrs,,1,Main (Oakland),9780312316457,Ken Bruen,work,2003,,,,
Comptia  A Certification Exam Guide  Exams 220801  220802,CompTIA A+ Certification Exam Guide-Exams 220-801 & 220-802,,1,Main (Oakland),No ISBN Found,,work,2012,,,,
Witch Of Lime Street,The Witch of Lime Street,David Jaher,1,Allegheny,978 0 307 45106 4,David Jaher,work,2015,,,,
Joan Crawford Hollywood Martyr,Joan Crawford,David Bret,1,Allegheny,9780786718689,David Bret,work,2006,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Carrick,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Main (Oakland),316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Main (Oakland),316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2,Brookline,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Squirrel Hill,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Homewood,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,East Liberty,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Brookline,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Squirrel Hill,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Main (Oakland),316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Sheraden,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Downtown & Business,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Downtown & Business,316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Main (Oakland),316245283,Ransom Riggs,work,2011,,,,
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,,1,Beechview,316245283,Ransom Riggs,work,2011,,,,
