book_title,book_author,log_value,library
Gray Ghosts murders,Keith McCafferty,1,Beechview
No Title Logged,,1,Squirrel Hill
Cliffords birthday party,norman bridwell,1,Main (Oakland)
45 pounds (more or less),K. A. Barson,1,Squirrel Hill
Mother Goose,,2,West End
new friends,,1,Carrick
house of secrets,,1,Carrick
Jack and Jill and Big Dog Bill,Martha Weston,1,East Liberty
Shoo Fly Guy,Tedd Arnold,1,Main (Oakland)
No Title Logged,,10,Allegheny
Book 10,,1,Hazelwood
"Moo, Baa, La La La!",Sandra Boynton,1,Brookline
Cool it!,Georgie birkett,1,Brookline
The Foot Book,Dr. Seuss,1,Main (Oakland)
The Black Knife: An Orphan Queen Novella ,Jodi Meadows,1,Hill District
el deafo,cece bell,1,Main (Oakland)
Pete the Cat,James Dean,1,East Liberty
the truth and other lies,,1,Mt. Washington
Number One Sam,,1,Hazelwood
Llama Llama Nighty-Night,Anna Dewdney,1,East Liberty
Brave Take Aim,,1,East Liberty
No Title Logged,,1,Squirrel Hill
  Llama Llama red pajama ,Anna   Dewdney,1,Squirrel Hill
The Last Woman Standing,Thelma Adams,1,Carrick
Silverlicious,Victoria Kann,1,Brookline
No Title Logged,,15,Squirrel Hill
No Title Logged,,1,Main (Oakland)
We're Going on a Lion Hunt,David Axtell,5,Squirrel Hill
Pete the Cat,James Dean,1,Main (Oakland)
If you're a robot and it know it,,1,Beechview
Mini Shopaholic,Sophie Kinsella,1,Brookline
No Title Logged,,15,Squirrel Hill
Warbreaker,Brandon Sanderson,1,Main (Oakland)
The Lost Library: Gay Fiction Rediscovered,Tom Cardamome,1,Main (Oakland)
Summer Before the War,Helen Simonson,1,East Liberty
Jonathan and his Mommy,,1,Beechview
planting a seed,,1,Sheraden
Purity,Jonathan Franzen,1,Main (Oakland)
Scooby Samurai Ghost,,1,Beechview
"everything,everything",nicola yoon,1,Main (Oakland)
Wolves of the Calla,Stephen King,1,Lawrenceville
Hexed (Iron Druid Chronicles),Kevin Hearne,1,Downtown & Business
Dare the Wind,Tracey Fern,1,Squirrel Hill
Toy Trouble,Keil Murray,1,Downtown & Business
No Title Logged,,3,Woods Run
in color,sassy non-sters,1,Main (Oakland)
No Title Logged,,6,Squirrel Hill
My Kidergarden,,1,Carrick
No Title Logged,,17,Squirrel Hill
Doug Unplugged,Dan Yaccarino,1,Hill District
"One fish, two fish, red fish, blue fish",Dr. Seuss,1,Allegheny
"Penguins, Penguins, Everywhere!",Bob Barner,1,Squirrel Hill
A Time To Love,Barbara Cameron,1,Mt. Washington
ZOOTOPIA,,1,Knoxville
Hush Little Baby ,Marla Frazee,1,Main (Oakland)
Clancy and Millie and the Very Fine House,Libby Gleeson,1,Main (Oakland)
Me and Earl and the Dying Girl : a novel,Jesse Andrews,1,East Liberty
Harry Potter and the Deathly Hallows,J.K. Rowling,1,Squirrel Hill
Invasion of the Road Weenies,David Lubar,1,Hazelwood
No Title Logged,,15,Squirrel Hill
No Title Logged,,9,Squirrel Hill
No Title Logged,,9,Squirrel Hill
The Valley of Amazement,Amy Tan,1,Brookline
Fred and Ted like to fly,Peter Eastman,1,Knoxville
No Title Logged,,1,Main (Oakland)
"What's Wrong, Little Pookie?",Sandra Boynton,3,Main (Oakland)
Curious George at the Fire Station,H.A. Rey,1,Downtown & Business
Nina Nina ballerina,Jane o'connor,1,Squirrel Hill
"Where There Is Love, There Is God",Mother Teresa,1,Carrick
I Get Dressed,David McPhail,1,Squirrel Hill
The Death of Vishnua,Manil Suri,1,Main (Oakland)
Saga volume 6,Brian k Vaughan ,1,Squirrel Hill
Sixth Grave on the Edge,Darynda Jones,1,Main (Oakland)
The Fade Out,"Ed Brubaker, Sean Phillips",1,South Side
To Kill a Mockingbird,Harper  Lee,2,Main (Oakland)
Magi 4, Shinobu Ohtaka,1,Main (Oakland)
The Diabolical Mrs. Hyde,Viola Carr,1,Downtown & Business
"Robots, Robots Everywhere",Sue Fleiss,1,Squirrel Hill
No Title Logged,,1,Main (Oakland)
Unlikely Friends,Jennifer Holland,1,Squirrel Hill
Where It Hurts,Reed Coleman,1,Carrick
I Survived Pearl Harbor,,1,Squirrel Hill
No Title Logged,,1,Mt. Washington
No Title Logged,,1,Main (Oakland)
No Title Logged,,1,Main (Oakland)
Leaving Time,Jodi Picoult,1,Allegheny
Sting,Jude Watson,1,Main (Oakland)
Cool Castles,Sean Kennedy,1,South Side
Jingle Bells,James Lord  Pierpont ,1,Downtown & Business
Ragtime,EL Doctorow,1,Allegheny
Rebecca,Daphne du Maurier,1,Beechview
tool box,,1,Main (Oakland)
"Smile, Pout Pout Fish",Deborah Diesen,1,Main (Oakland)
love you bunches,,1,Carrick
A Front Page Affair,Rahda Vatsal,1,Sheraden
My Stinky New School,Rebecca Elliott,1,Brookline
Sleep Over,,1,Main (Oakland)
Tell the Wolves I'm Home,Carol Rifka Brunt,1,Lawrenceville
the manhattan hunt club,john saul,1,Carrick
Felicity,Mary Oliver,2,Downtown & Business
Arthur's Dream Boat,,1,Squirrel Hill
Shadows of Death,Jeanne Dams,1,Carrick
Alexander and the Wind-Up Mouse,Leo Lionni,1,Squirrel Hill
the house for hermit crab,,1,Beechview
Sophie the awesome,,1,Hazelwood
Supergirl Volume 6,,1,Woods Run
The Awakening,Kelley Armstrong,5,Main (Oakland)
Little Owl's 1-2-3,Divya Srinivasan,1,Main (Oakland)
Rv and Camper Handbook,,1,Sheraden
No Title Logged,,4,
No Title Logged,,1,Squirrel Hill
Dot,Bobby Lynn Maslen,1,Main (Oakland)
Dinofour its fire drill day,Steve Metzger,1,Brookline
No Title Logged,,1,Main (Oakland)
Frog ,Soft toy with book,2,Brookline
Sweetbitter,Stephanie Danler,1,Sheraden
mat,,1,East Liberty
Burned,PC Cast,1,Main (Oakland)
The Path: What Chinese Philosophers Can teach Us About the Good Life (Goal C Book 1),Michael Puett and Christine Gross-Loh,1,Squirrel Hill
Children of the Dark,Jonathan Janz,1,Beechview
Ariel Baby Beau,Catherine Hapka,1,East Liberty
Winter,Marissa Meyer,1,Main (Oakland)
The Mark of Athena,Rick Riordan,1,Squirrel Hill
Those Who Leave and Those Who Stay,Elena Ferrante,1,East Liberty
There Was An Old Lady Who Swallowed Fly Guy,Tedd Arnold,1,Squirrel Hill
Goof,,1,Brookline
Sweet Bitter,Stephanie Danler,1,Allegheny
The Dead Girls of Hysteria Hall,Katie Alender,1,Brookline
Baby Cakes,Karma Wilson,1,Squirrel Hill
lego movie meet unikitty,shari last ,1,Lawrenceville
Exclamation Mark,Amy Krouse Rosenthal,1,Squirrel Hill
No Title Logged,,1,Beechview
Amulet,,1,Allegheny
Giant Days Vol. 1,John Allison ,1,Beechview
My Friend is Sad,Mo Willems,1,Main (Oakland)
No Title Logged,,2,Squirrel Hill
Brown Bear Brown Bear What Do You See?,Bill Martin,1,Squirrel Hill
"Regarding the Fountain: A Tale, in Letters, of Liars & Leaks","Kate Klise, illustrated by M. Sarah Klise",1,Main (Oakland)
Pinwheel,,3,West End
The Hare and The Tortoise ,Helen  Ward,1,Carrick
Lego Star Wars: A New Hope,Emma Grange,1,East Liberty
Pete the Cat: A Pet for Pete,James Dean,1,Squirrel Hill
Race Around the World,,1,South Side
Emperor Picklestine Rides The Bus,Tom Angelberger,1,Main (Oakland)
Jump!,Floyd Cooper,1,Hill District
American Gods,Neil Gaiman,1,Main (Oakland)
Don't Throw It to Mo!,David Adler,1,
Freckle Juice,Judy Blume,1,Main (Oakland)
Hippopposites,Janik Coat,1,East Liberty
Inside of a Dog,Alexandra Horowitz,1,West End
The Second Life of Nick Mason,Steve Hamilton,1,East Liberty
Tourette Syndrome,Marlene Targ Brill,1,Main (Oakland)
The Lost Books of the Odyssey,Zachary Mason,1,
Don't Throw It to Mo!,David Adler,1,Brookline
The Devil and Miss Prym,Paulo Coelho,1,East Liberty
Snowmen at Night,Caralyn Buehner,1,Squirrel Hill
A Pet for Fly Guy,Tedd Arnold,1,Squirrel Hill
Gus the Dinosaur Bus,Julia and Bei Lui,2,East Liberty
The Secret Code,,1,South Side
No Title Logged,,1,Homewood
Gone again,James Grippando,1,Carrick
"Happy Birthday, Dora",,1,South Side
Viva Frida,Yuyi Morales,1,Hill District
Five Funny Bunnies - Naptime,Jean Van Leeuwen,1,Downtown & Business
No Title Logged,,1,Hazelwood
How Do Dinosaurs Eat Their Food,Jane Yolen,1,Squirrel Hill
No Title Logged,,20,Woods Run
The Pout-Pout Fish,Deborah Diesen,1,East Liberty
Brown Bear Brown Bear What Do You See,Bill Martin Jr.,1,East Liberty
This Day in June,Gayle E. Pitman,1,West End
A Thousand Splendid Suns,Khaled Hosseini,1,Carrick
Secrets of the rainforest,Carron brown,1,East Liberty
No Title Logged,,6,Main (Oakland)
Tinker Bell,papercutz,5,Beechview
Girls on Fire,,1,Squirrel Hill
Kingdom Keepers 3: Disney in Shadow,Ridley Pearson,1,Brookline
Touch and Feel Farm,,1,West End
First 100 Trucks,Priddy Books,1,Lawrenceville
Wayside School is Falling Down,Louis Sachar,1,Allegheny
Daniel Tiger Welcome to the neighborhood,,1,Lawrenceville
Bad Feminist,Roxanne Gay,1,Downtown & Business
From Head to Toe,Eric Carle,1,Hill District
Plants Feed Me,Lizzy Rockwell,1,Brookline
Taran Wanderer,Lloyd Alexander,1,East Liberty
Flat Stanley His Original Adventure,Jeff Brown,1,Mt. Washington
bernstein bears picnic,,1,Squirrel Hill
No Title Logged,,3,Squirrel Hill
The Crown,Kiera Cass,1,Squirrel Hill
Where's My T.R.U.C.K?,Karen Beaumont,1,Squirrel Hill
The Velveteen Rabbit,Margery Williams,1,East Liberty
My Beloved World,Sonia Sotomayor,1,Squirrel Hill
Greetings from Somewhere: The Mystery of the Icy Paws,Harper Paris,1,Squirrel Hill
1 2 3,Sarah Powell,1,Squirrel Hill
Love and Limits,,1,Carrick
No Title Logged,,6,Squirrel Hill
No Title Logged,,13,Woods Run
The House of Secrets,Brad Meltzer,1,Carrick
Guess What is Growing Inside This Egg,Mia Posada,1,Sheraden
Lumberjanes #7,,1,Brookline
All about Light,Lisa Trumbauer,1,Squirrel Hill
Diary of a Wimpy Kid - Dog Days ,Jeff Kinney ,1,Squirrel Hill
Eric Carle's 1 2 3,Eric Carle,2,East Liberty
No Title Logged,,12,Squirrel Hill
15th Affair,,1,Brookline
No Title Logged,,1,Main (Oakland)
conspiracy of blood and smoke,,1,Squirrel Hill
Zane's Vengeance,,1,Carrick
Wild Ideas,Elin Kelsey,1,Beechview
Art & Max ,David Wiesner,1,Hill District
If You Take a Mouse to School,Laura Numeroff,1,Brookline
No Title Logged,,3,Squirrel Hill
Lost In The City,Kathleen O'Dell,1,Main (Oakland)
Buzzzzzzzzzzzzz Said the Bee,Wendy Cheyette Lewison,1,East Liberty
Farm City: The Education of an Urban Farmer,"Carpenter, Novella",1,Main (Oakland)
Haiku baby,Betsy snyder,1,Squirrel Hill
Rebecca,Daphne du Maurier,1,Beechview
The Everything Book,Denise Fleming,3,Squirrel Hill
Pride & Prejudice,,1,Brookline
Skippyjon Jones Snow What,Judy Schachner,1,Main (Oakland)
No Title Logged,,8,Lawrenceville
If I Ran the Zoo,Dr. Seuss,1,Squirrel Hill
Casting the Stake ,LJ Summers,1,Main (Oakland)
Evicted: Poverty and Profit in the American City,Matthew Desmond,1,Downtown & Business
A Bear Called Paddington,Michael Bond,1,East Liberty
ABC,Jane Foster,1,Allegheny
No Title Logged,,1,Main (Oakland)
Where the Wild Things Are,Maurice Sendak,1,Brookline
Apple Pie 4th of July,Janet S. Wong,1,Carrick
Desire,,1,Brookline
Good Night Like This,Mary Murphy,1,Squirrel Hill
Our Stars,Anne F. Rockwell,1,Main (Oakland)
ABC Dream,Kim Krans,1,
And After the Fire,Lauren Belfer,1,Main (Oakland)
"panda bear, panda bear, what do you see? ",Bill Martin,1,Carrick
A birthday for cow,,1,Main (Oakland)
Bad Dirt,Annie Proulx,1,Main (Oakland)
Prince's Gambit,C.S. Pacat,2,Main (Oakland)
The Good Goodbye,Carla Buckley,1,Lawrenceville
Beach,,1,
The Cat in the Hat,Dr. Seuss,1,Main (Oakland)
Elle Magazine January 2016,N/A,1,Main (Oakland)
No Title Logged,,5,Homewood
Clothesline Clues to Sports People Play,"Heling, Kathryn and Deborah Hembrook",1,East Liberty
Undertow,Michael Buckely,1,Main (Oakland)
I Want a Monster!,Elise Gravel,1,Allegheny
LEGO Star Wars: The Visual Dictionary,Simon Beecroft,1,West End
Fancy Nancy: Pajama Day,Jane O'Connor,1,Squirrel Hill
No Title Logged,,15,Squirrel Hill
kane,jack brickweg,1,Brookline
Alex's Girl,,1,Brookline
No Title Logged,,5,Squirrel Hill
The Bad Monkey ,carl hiaasen,1,Main (Oakland)
stink and the great guinea pig express,-,1,Brookline
Can I Play Too?,Mo Willems,1,Carrick
Chirping crickets,Melvin Berger,1,Squirrel Hill
Questions And Answers About Animal World,Capella,1,Knoxville
Close Encounters of the Furred Kind,Tom Cox,1,Lawrenceville
Sex criminals volume one,Matt fraction and Chip Zdarsky,1,Main (Oakland)
A Bad Case of Stripes,David Shannon,1,East Liberty
No Title Logged,,1,East Liberty
The Enormous Crocodile,Roald Dahl,1,Woods Run
The Blackhouse,Peter May,1,Beechview
The Blood of Olympus ,Rick Riordan ,1,Main (Oakland)
The arcotic code,Matthew j kirby,1,Lawrenceville
Fangirl,Rainbow Rowell,1,Main (Oakland)
Dinosaurs,,1,Carrick
Fly Away,Kristen Hanna,1,Woods Run
bad kitty meets the baby,,1,East Liberty
No Title Logged,,2,Allegheny
Everything Everything,Nicola Yoon,1,West End
Deep Sea treasure dive,,1,Squirrel Hill
No Title Logged,,10,Main (Oakland)
Baba Yaga's Assistant,Marika McCoola,1,Hazelwood
The Very Busy Spider,Eric Carle,1,Lawrenceville
Goodnight Moon,Margaret Brown,1,Carrick
Thea stilton and the dancing shadows,thea stilton,1,Allegheny
Skippyjon Jones Cirque de Ole,Judy Schachner,5,Main (Oakland)
No Title Logged,,8,Squirrel Hill
No Title Logged,,4,Woods Run
Spring Fever ,Mary Kay Andrews,1,South Side
The Graphic Alphabet,David Pelletier,1,Squirrel Hill
Monsters Love Colors,Mike Austin,1,Hill District
The three little pigs finger puppet story,,4,Beechview
No Title Logged,,1,East Liberty
I Love You Through and Through,Bernadette Rosetti-Shustak,1,West End
Star Wars Rebels: Meet the Rebels, DK Publishing,1,East Liberty
Toy Story 2 Friends Forever,,1,Hill District
My Friend Nelly,"Gelsanliter, Wendy",1,Hazelwood
Vehicles,Xavier Deneux,1,Squirrel Hill
"One fish, two fish, red fish, blue fish",Dr. Seuss,1,Allegheny
That's Not My Monkey,Fiona Watt,1,Main (Oakland)
The Magical Adventure,,1,Beechview
Library Lion,Michelle Knudsen,1,East Liberty
Complicity,,1,East Liberty
my first ABC,,1,Downtown & Business
Sirens Call,Jayne Castle,1,Carrick
It's Kind Of A Funny Story,Ned Vizzini,1,Main (Oakland)
Monster Trucks!,"Todd, Mark.",1,Squirrel Hill
panda in the park,-,1,Brookline
The Westing Game,Ellen Raskin,1,Brookline
No Title Logged,,20,Woods Run
World War II: A Visual History of the World's Darkest Days,Sean Callery,1,Woods Run
My Mrs. Brown,William Norwich,1,Main (Oakland)
Find a Face,,1,Knoxville
Cat can jump,,1,Squirrel Hill
Ballet Cat,Bob Shea,1,
No Title Logged,,1,Squirrel Hill
There's a Wocket in My Pocket,Dr. Seuss,1,Squirrel Hill
No Title Logged,,1,Main (Oakland)
Short Nights of the Shadow Catcher,"Egan, Timothy",1,Main (Oakland)
No Title Logged,,1,Woods Run
