log_timestamp,date_read,log_value,library
5/24/2016 14:30,5/24/2016,5,Squirrel Hill
5/25/2016 13:36,5/25/2016,1,Main (Oakland)
5/25/2016 17:33,5/25/2016,1,East Liberty
5/25/2016 19:00,5/25/2016,1,Carrick
5/25/2016 19:01,5/25/2016,1,Carrick
5/25/2016 19:33,5/25/2016,1,Main (Oakland)
5/25/2016 19:34,5/25/2016,1,Main (Oakland)
5/25/2016 19:35,5/25/2016,1,Main (Oakland)
5/25/2016 20:03,5/25/2016,1,Allegheny
5/25/2016 20:04,5/25/2016,1,Allegheny
5/25/2016 20:30,5/25/2016,1,Carrick
5/25/2016 20:30,5/25/2016,1,Carrick
5/25/2016 20:30,5/25/2016,1,Carrick
5/25/2016 20:31,5/25/2016,1,Carrick
5/25/2016 20:32,5/25/2016,1,Carrick
5/25/2016 20:42,5/25/2016,1,Main (Oakland)
5/25/2016 22:52,5/25/2016,1,Hazelwood
5/26/2016 1:51,5/25/2016,1,Main (Oakland)
5/26/2016 2:55,5/25/2016,1,
5/26/2016 13:52,5/26/2016,6,Mt. Washington
5/26/2016 14:26,5/26/2016,1,Main (Oakland)
5/26/2016 20:09,5/26/2016,1,West End
5/26/2016 21:12,5/10/2016,1,Main (Oakland)
5/26/2016 21:13,5/19/2016,1,Main (Oakland)
5/26/2016 21:14,5/26/2016,1,Main (Oakland)
5/26/2016 21:22,5/26/2016,1,Squirrel Hill
5/27/2016 3:21,5/26/2016,1,Squirrel Hill
5/27/2016 3:23,5/26/2016,1,Squirrel Hill
5/27/2016 3:25,5/24/2016,1,Squirrel Hill
5/27/2016 3:28,5/25/2016,1,Squirrel Hill
5/27/2016 3:29,5/23/2016,1,Squirrel Hill
5/27/2016 3:31,5/26/2016,1,Squirrel Hill
5/27/2016 3:32,5/26/2016,1,Squirrel Hill
5/27/2016 3:37,5/26/2016,1,Squirrel Hill
5/27/2016 3:45,5/22/2016,1,Squirrel Hill
5/27/2016 3:47,5/26/2016,1,Squirrel Hill
5/27/2016 13:26,5/26/2016,1,Squirrel Hill
5/27/2016 13:26,5/26/2016,1,Squirrel Hill
5/27/2016 14:09,5/26/2016,1,Squirrel Hill
5/27/2016 14:10,5/26/2016,1,Squirrel Hill
5/27/2016 15:06,5/26/2016,1,West End
5/27/2016 15:07,5/26/2016,1,West End
