zip,books
15223,57
15017,58
15005,62
15022,63
15025,63
15317,63
15106,64
15102,66
15145,68
15122,76
15068,77
15243,83
15229,86
15126,88
15209,112
15108,114
15136,115
15234,118
15112,121
15238,125
15143,134
15236,137
15146,153
15215,165
15222,173
15233,192
15131,198
15120,209
15239,221
15147,230
15101,234
15228,265
15237,304
15220,360
15202,371
15235,399
15224,560
15203,578
15232,662
15227,712
15204,749
15205,914
15219,1187
15201,1195
15218,1310
15208,1414
15214,1597
15221,1650
15207,1733
15226,1875
15213,1891
15211,2387
15216,2412
15210,2815
15206,3563
15212,4702
15217,12154
